Year,Source_App,Category_Name,Content_Name,Content_Type,"Total Revenue (Net)",package_base_price,"Total Paying Users"
2026,jadiasn,"Program Super Intensif CPNS SKD 2026","Program Super Intensif CPNS SKD 2026 - Masa Aktif 1 Tahun (Khusus Perpanjang)","course + journey + liveclass + tryout",97378567.00,450000.00,686
2026,jadiasn,"Program Super Intensif CPNS SKD 2026","Program Super Intensif CPNS SKD 2026 - Masa Aktif 6 Bulan","course + journey + liveclass + tryout",40758748.00,300000.00,297
2026,jadiasn,"Program Super Intensif CPNS SKD 2026","Program Super Intensif CPNS SKD 2026 - Masa Aktif 6 Bulan (Khusus Perpanjang)","course + journey + liveclass + tryout",9720255.00,300000.00,77
2026,jadiasn,"Program Super Intensif CPNS SKD 2026","Bimbel Persiapan Tes SKD CPNS SKD 2026 - Masa Aktif 2 Tahun","course + journey + liveclass + tryout",1957225.00,650000.00,8
2026,jadiasn,"Program Super Intensif CPNS SKD 2026","Bimbel Persiapan Tes SKD CPNS SKD 2026 - Masa Aktif 2 Tahun (Khusus Perpanjang)","course + journey + liveclass + tryout",739565.00,650000.00,3
2026,jadibeasiswa,"Tes LPDP 2026","Program Bimbingan Tes Bakat Skolastik LPDP 2026 + 1x Sesi 1on1 Bahas Essay - Masa Aktif 4 Bulan","course + journey + liveclass + tryout",1496500.00,500000.00,5
2026,jadibeasiswa,"Tes LPDP 2026","Program Bimbingan Tes Bakat Skolastik LPDP 2026 - Masa Aktif 4 Bulan","course + journey + liveclass + tryout",1380780.00,300000.00,7
2026,jadibeasiswa,"Tes LPDP 2026","Paket Lengkap Tes Bakat Skolastik dan Tes Substansi LPDP 2026 - Masa Aktif 5 Bulan","course + journey + liveclass + tryout",895000.00,1200000.00,1
2026,jadibeasiswa,"Program Bimbingan Kelas TBS (Tes Bakat Skolastik) LPDP Batch 2 Tahun 2025","Kelas Ekslusif Program TBS (Tes Bakat Skolastik) LPDP 2025 - Masa Aktif 2 Bulan","course + liveclass + tryout",849185.00,600000.00,3
2026,jadibeasiswa,"Tes LPDP 2026","Program Bimbingan Tes Bakat Skolastik LPDP 2026 - 4 Bulan (Khusus Perpanjangan)","course + journey + liveclass + tryout",782000.00,300000.00,4
2026,jadibeasiswa,"Program Bimbingan Kelas TBS (Tes Bakat Skolastik) LPDP Batch 2 Tahun 2025","Kelas Reguler Program TBS (Tes Bakat Skolastik) LPDP 2025 - Masa Aktif 2 Bulan_","course + liveclass + tryout",406000.00,300000.00,2
2026,jadibeasiswa,"Program Bimbingan Kelas TBS (Tes Bakat Skolastik) LPDP Batch 2 Tahun 2025","Kelas Reguler Program TBS (Tes Bakat Skolastik) LPDP 2025 - Masa Aktif 2 Bulan","course + liveclass + tryout",405980.00,300000.00,2
2026,jadibeasiswa,"Tes LPDP 2026","Program Bimbingan Tes Bakat Skolastik LPDP 2026 + 1x Sesi 1on1 Bahas Essay - Masa Aktif 4 Bulan (Khusus Perpanjangan)","course + journey + liveclass + tryout",299000.00,500000.00,1
2026,jadibeasiswa,"Program Bimbingan Profreed Essay Tes LPDP ","Program Proofread Essay","course + tryout",203000.00,299000.00,1
2026,jadibumn,"CURI START BIMBEL PERSIAPAN TES REKRUTMEN BERSAMA BUMN 2026","Curi Start Bimbel Persiapan Tes RBB 2026 (Tahap 1 dan Tahap 2) - Jenjang D3-S2 - Masa Aktif 1 Tahun","course + journey + liveclass + tryout",55216451.00,600000.00,332
2026,jadibumn,"CURI START BIMBEL PERSIAPAN TES REKRUTMEN BERSAMA BUMN 2026","Curi Start Bimbel Persiapan Tes RBB 2026 (Tahap 1 dan Tahap 2) - Jenjang D3-S2 - Masa Aktif 6 Bulan","course + journey + liveclass + tryout",28887866.00,600000.00,199
2026,jadibumn,"CURI START BIMBEL PERSIAPAN TES REKRUTMEN BERSAMA BUMN 2026","Curi Start Bimbel Persiapan Tes RBB 2026 (Tahap 1 dan Tahap 2) - Jenjang D3-S2 - Masa Aktif 1 Tahun (Khusus Perpanjangan)","course + journey + liveclass + tryout",20751399.00,600000.00,130
2026,jadibumn,"CURI START BIMBEL PERSIAPAN TES REKRUTMEN BERSAMA BUMN 2026","Curi Start Bimbel Persiapan Tes RBB 2026 (Tahap 1 dan Tahap 2) - Jenjang D3-S2 - Masa Aktif 6 Bulan (Khusus Perpanjangan)","course + journey + liveclass + tryout",12647026.00,600000.00,97
2026,jadibumn,"Bimbel Tes Persiapan Seleksi Perum Bulog","Bimbel Tes Persiapan Seleksi Perum Bulog - Masa Aktif 3 Bulan","course + tryout",4280575.00,300000.00,32
2026,jadibumn,"Bimbel Tes Persiapan Seleksi PT Pertamina (Persero)","Bimbel Tes Persiapan Seleksi Psikotes PT Pertamina (Persero) - Masa Aktif 3 Bulan","course + tryout",3285050.00,300000.00,25
2026,jadibumn,"CURI START BIMBEL PERSIAPAN TES REKRUTMEN BERSAMA BUMN 2026","Curi Start Bimbel Persiapan Tes RBB 2026 (Tahap 1 dan Tahap 2) - Jenjang SMA/Sederajat - Masa Aktif 1 Tahun","course + liveclass + tryout",2493220.00,500000.00,17
2026,jadibumn,"Bimbel Recruitment PT KAI (Kereta Api Indonesia) Persero","Bimbel Tes Recruitment PT KAI (Persero) Tahun 2025 - Masa Aktif 3 Bulan","course + journey + liveclass + tryout",1906045.00,300000.00,16
2026,jadibumn,"Bimbel Rekrutmen Nasional PLN Group 2025","Bimbel Rekrutmen Nasional PLN Group 2025 - Masa Aktif 3 Bulan","course + journey + liveclass + tryout",1770835.00,299000.00,9
2026,jadibumn,"Bimbel Tes Persiapan Seleksi PT Pertamina (Persero)","Bimbel Tes Persiapan Seleksi Psikotes PT Pertamina (Persero) - Masa Aktif 3 Bulan_","course + tryout",1444876.00,300000.00,12
2026,jadibumn,"Bimbel Tes Persiapan Seleksi Perum Bulog","Bimbel Tes Persiapan Seleksi Perum Bulog - Masa Aktif 3 Bulan_","course + tryout",1341085.00,300000.00,11
2026,jadibumn,"Bimbel Rekrutmen Nasional PLN Group 2025","Bimbel Rekrutmen Nasional PLN Group 2025 - Masa Aktif 3 Bulan (Khusus Perpanjangan)","course + journey + liveclass + tryout",1121335.00,299000.00,6
2026,jadibumn,"CURI START BIMBEL PERSIAPAN TES REKRUTMEN BERSAMA BUMN 2026","Curi Start Bimbel Persiapan Tes RBB 2026 (Tahap 1 dan Tahap 2) - Jenjang SMA/Sederajat - Masa Aktif 1 Tahun (Khusus Perpanjangan)","course + liveclass + tryout",888545.00,500000.00,7
2026,jadibumn,"Bimbel Recruitment PT KAI (Kereta Api Indonesia) Persero","Bimbel Tes Persiapan Seleksi Psikologi PT KAI (Persero) - Masa Aktif 2 Bulan","course + journey + liveclass + tryout",655000.00,200000.00,6
2026,jadibumn,"Bimbel Tes Rekrutmen Bank Negara Indonesia Tbk","Bimbel Tes Persiapan Seleksi ADP dan ODP BANK BNI Tbk - Masa Aktif 2 Bulan","course + tryout",552500.00,200000.00,4
2026,jadibumn,"Bimbel Tes Persiapan Seleksi PT Freeport Indonesia (PTFI)","Bimbel Tes Persiapan Seleksi PT Freeport Indonesia - Masa Aktif 3 Bulan","course + tryout",326000.00,300000.00,2
2026,jadibumn,"Paket Bimbel Simulasi Tes Psikotes BUMN","10 Paket Simulasi Tes Psikotes Kerja - Masa Aktif 1 Bulan_","course + liveclass + tryout",313000.00,150000.00,4
2026,jadibumn,"Bimbel Tes Xplorer MIND ID (PT Antam, PT Bukit Asam, PT Freeport Indonesia, PT Inalum, PT Timah, PT Vale)","Bimbel Persiapan MIND ID Tes Kognitif dan Kepribadian - Masa Aktif 3 Bulan_","course + tryout",290000.00,300000.00,2
2026,jadibumn,"Bimbel Tes Rekrutmen Bank Negara Indonesia Tbk","Bimbel Tes Persiapan Seleksi ADP dan ODP BANK BNI Tbk - Masa Aktif 2 Bulan_","course + tryout",265080.00,200000.00,2
2026,jadibumn,"Bimbel Tes Persiapan Seleksi PT Freeport Indonesia (PTFI)","Bimbel Tes Persiapan Seleksi PT Freeport Indonesia - Masa Aktif 3 Bulan_","course + tryout",153000.00,300000.00,1
2026,jadibumn,"Bimbel Tes Persiapan Seleksi PT Biofarma (Persero)","Bimbel Tes Persiapan Seleksi PT Biofarma (Persero) - Masa Aktif 3 Bulan_","course + tryout",133500.00,300000.00,1
2026,jadibumn,"Bimbel Tes Persiapan Seleksi PT Biofarma (Persero)","Bimbel Tes Persiapan Seleksi PT Biofarma (Persero) - Masa Aktif 3 Bulan","course + tryout",123500.00,300000.00,1
2026,jadibumn,"Paket Bimbel Simulasi Tes Psikotes BUMN","10 Paket Simulasi Tes Psikotes Kerja - Masa Aktif 6 Bulan_","course + liveclass + tryout",113000.00,200000.00,1
2026,jadibumn,"Paket Bimbel Rekrutmen BPJS Ketenagakerjaan 2025","Paket Simulasi Rekrutmen BPJS Ketenagakerjaan 2025 - Masa Aktif 3 Bulan_","course + tryout",107000.00,299000.00,1
2026,jadibumn,"Bimbel Recruitment PT KAI (Kereta Api Indonesia) Persero","Bimbel Tes Persiapan Seleksi Psikologi PT KAI (Persero) - Masa Aktif 2 Bulan  (Khusus Perpanjangan)","course + journey + liveclass + tryout",100980.00,200000.00,1
2026,jadibumn,"Paket Bimbel Simulasi Tes Psikotes BUMN","10 Paket Simulasi Tes Psikotes Kerja - Masa Aktif 1 Bulan","course + liveclass + tryout",93000.00,150000.00,1
2026,jadibumn,"Bimbel Tes Rekrutmen Bank Negara Indonesia Tbk","Bimbel Tes Persiapan Seleksi BINA BNI - Masa Aktif 2 Bulan_","course + tryout",83000.00,200000.00,1
2026,jadibumn,"Bimbel Tes Xplorer MIND ID (PT Antam, PT Bukit Asam, PT Freeport Indonesia, PT Inalum, PT Timah, PT Vale)","Bimbel Persiapan MIND ID Tes Kognitif dan Kepribadian - Masa Aktif 3 Bulan","course + tryout",82500.00,300000.00,1
2026,jadinakes,"Simulasi Tryout Tes UKOM D3 Kesehatan 2025","Paket TryOut UKOM D3 Keperawatan  - Masa Aktif 2 Bulan",tryout,491335.00,250000.00,5
2026,jadinakes,"Simulasi Tryout Tes UKOM D3 Kesehatan 2025","Paket TryOut UKOM D3 Kebidanan  - Masa Aktif 2 Bulan",tryout,413000.00,250000.00,4
2026,jadinakes,"Simulasi Tryout UKOM Profesi Kesehatan 2025","Paket TryOut UKOM Profesi NERS - Masa Aktif 2 Bulan",tryout,308000.00,250000.00,3
2026,jadinakes,"Simulasi Tryout Tes UKOM D3 Kesehatan 2025","Paket TryOut UKOM D3 Gizi - Masa Aktif 2 Bulan",tryout,101500.00,250000.00,1
2026,jadinakes,"Simulasi Tryout Tes UKOM D3 Kesehatan 2025","Paket TryOut UKOM D3 TLM - Masa Aktif 2 Bulan",tryout,100980.00,250000.00,1
2026,jadinakes,"Simulasi Tryout Tes UKOM D3 Kesehatan 2025","Paket TryOut UKOM D3 RMIK - Masa Aktif 2 Bulan",tryout,86000.00,250000.00,1
2026,jadiojk,"Program TAHAP 2 sampai 3 Untuk PCAM 9 (Live Class + Simulasi + Latsol + Materi)","Program TAHAP 2 Sampai 3 Untuk PCAM 9 - 1 Bulan","course + liveclass + tryout",4557918.00,200000.00,48
2026,jadiojk,"Program TAHAP 2 sampai 3 Untuk PCAM 9 (Live Class + Simulasi + Latsol + Materi)","Program TAHAP 2 Sampai 3 Untuk PCAM 9 - 1 Bulan (Perpanjangan)","course + liveclass + tryout",855700.00,200000.00,10
2026,jadipcpm,"PROGRAM BIMBEL TAHAP 3 PSIKOLOGI PCPM BI 40 TAHUN 2025","Paket Bimbel Tahap 3 Tes Psikologi PCPM BI 40 - Masa Aktif 1 Bulan","course + journey + tryout",690380.00,249000.00,6
2026,jadipcpm,"Program Bimbel Intensif Spesial Hire Bank Indonesia 2025","Paket Komplit Persiapan Tes Special Hire Bank Indonesia 2025 - Masa Aktif 3 Bulan","course + liveclass + tryout",303000.00,600000.00,2
2026,jadipcpm,"PAKET TRYOUT PERSIAPAN CAMPUS HIRING PCPM BI 40","Bimbel Paket Tryout Campus Hiring PCPM BI 40 - Masa Aktif 1 Bulan",tryout,163185.00,200000.00,2
2026,jadipcpm,"PAKET TRYOUT PERSIAPAN CAMPUS HIRING PCPM BI 40","Bimbel Paket Tryout Campus Hiring PCPM BI 40 - Masa Aktif 1 Bulan (Khusus Perpanjang)",tryout,70035.00,200000.00,1
2026,jadipolisi,"Program Curi Start Siap LOLOS POLRI TA 2026 - Bintara","Program Curi Start Siap LOLOS POLRI TA 2026 - Bintara - Masa Aktif  6 Bulan","course + journey + liveclass + tryout",71421500.00,300000.00,444
2026,jadipolisi,"Program Curi Start Siap LOLOS POLRI TA 2026 - Bintara","Program Curi Start Siap LOLOS POLRI TA 2026 - Bintara - Masa Aktif  6 Bulan (Khusus Perpanjangan)","course + journey + liveclass + tryout",13501000.00,300000.00,95
2026,jadipolisi,"Program Curi Start Siap LOLOS POLRI TA 2026 - Bintara","Program Curi Start Siap LOLOS POLRI TA 2026 - Bintara - Masa Aktif 1 Tahun","course + journey + liveclass + tryout",11028000.00,400000.00,60
2026,jadipolisi,"Program Curi Start Siap LOLOS POLRI TA 2026	- AKPOL","Program Curi Start Siap LOLOS POLRI TA 2026 - AKPOL - Masa Aktif 6 Bulan","course + journey + liveclass + tryout",9112500.00,300000.00,57
2026,jadipolisi,"Program Curi Start Siap LOLOS POLRI TA 2026 - SIPSS","CAMP ALL IN CLASS SIPSS 2026 - Masa Aktif 2 Bulan","course + tryout",5253500.00,400000.00,31
2026,jadipolisi,"Botcamp Bimbel 20 Hari Bintara Brimob 2025","Bootcamp Bimbel Lengkap (Live Class + Journey + Simulasi + Latsol + Materi) - Masa Aktif 2 Bulan","journey + liveclass + tryout",4685500.00,350000.00,28
2026,jadipolisi,"Program Curi Start Siap LOLOS POLRI TA 2026	- AKPOL","Program Curi Start Siap LOLOS POLRI TA 2026 - AKPOL - Masa Aktif 1 Tahun","course + journey + liveclass + tryout",4298000.00,400000.00,24
2026,jadipolisi,"Program Curi Start Siap LOLOS POLRI TA 2026 - SIPSS","Program Curi Start Siap LOLOS POLRI TA 2026 - SIPSS - Masa Aktif 6 Bulan","course + tryout",1961500.00,400000.00,12
2026,jadipolisi,"Program Curi Start Siap LOLOS POLRI TA 2026	- AKPOL","Program Curi Start Siap LOLOS POLRI TA 2026 - AKPOL - Masa Aktif 6 Bulan (Khusus Perpanjangan)","course + journey + liveclass + tryout",1904500.00,300000.00,13
2026,jadipolisi,"Program Curi Start Siap LOLOS POLRI TA 2026 - Bintara","Program Curi Start Siap LOLOS POLRI TA 2026 - Bintara - Masa Aktif 1 Tahun (Khusus Perpanjangan)","course + journey + liveclass + tryout",1600000.00,400000.00,10
2026,jadipolisi,"Program Curi Start Siap LOLOS POLRI TA 2026	- Tamtama","Program Curi Start Siap LOLOS POLRI TA 2026 - Tamtama - Masa Aktif 6 Bulan","course + journey + liveclass + tryout",1422000.00,300000.00,9
2026,jadipolisi,"Program Curi Start Siap LOLOS POLRI TA 2026	- AKPOL","Program Curi Start Siap LOLOS POLRI TA 2026 - AKPOL - Masa Aktif 1 Tahun (Khusus Perpanjangan)","course + journey + liveclass + tryout",690000.00,400000.00,4
2026,jadipolisi,"PROGRAM BIMBINGAN EKSLUSIF JADIPOLISI X GANTAR VELOCITY","Bimbingan Ekslusif Polri 2026 Jadipolisi x Gantar Velocitiy - Masa Aktif 3 Bulan","course + liveclass + tryout",655000.00,1000000.00,1
2026,jadipolisi,"Program Curi Start Siap LOLOS POLRI TA 2026	- Tamtama","Program Curi Start Siap LOLOS POLRI TA 2026 - Tamtama - Masa Aktif 1 Tahun","course + journey + liveclass + tryout",588000.00,400000.00,3
2026,jadipolisi,"Botcamp Bimbel 20 Hari Bintara Brimob 2025","Simulai + Latsol + Materi Saja - Masa Aktif 2 Bulan","course + tryout",493000.00,250000.00,5
2026,jadipolisi,"Program Curi Start Siap LOLOS POLRI TA 2026 - SIPSS","CAMP ALL IN CLASS SIPSS 2026 - Masa Aktif 2 Bulan (Khusus Perpanjangan)","course + tryout",439500.00,400000.00,3
2026,jadipolisi,"Botcamp Bimbel 20 Hari Bintara Brimob 2025","Bootcamp Bimbel Lengkap (Live Class + Journey + Simulasi + Latsol + Materi) - Masa Aktif 2 Bulan (Khusus Perpanjangan)","journey + liveclass + tryout",401000.00,350000.00,3
2026,jadipolisi,"Program Curi Start Siap LOLOS POLRI TA 2026	- Tamtama","Program Curi Start Siap LOLOS POLRI TA 2026 - Tamtama - Masa Aktif 6 Bulan (Khusus Perpanjangan)","course + journey + liveclass + tryout",396000.00,300000.00,3
2026,jadipolisi,"Program Curi Start Siap LOLOS POLRI TA 2026	- Tamtama","Program Curi Start Siap LOLOS POLRI TA 2026 - Tamtama - Masa Aktif 1 Tahun (Khusus Perpanjangan)","course + journey + liveclass + tryout",189000.00,400000.00,1
2026,jadipolisi,"Botcamp Bimbel 20 Hari Bintara Brimob 2025","Bootcamp Bimbel (Journey + Simulasi + Latsol + Materi) - Tidak Ada Live Class - Masa Aktif 2 Bulan","course + journey + tryout",172000.00,250000.00,1
2026,jadipolisi,"Program Curi Start Siap LOLOS POLRI TA 2026 - SIPSS","Program Curi Start Siap LOLOS POLRI TA 2026 - SIPSS - Masa Aktif 6 Bulan (Khusus Perpanjangan)","course + tryout",163000.00,400000.00,1
2026,jadippg,"Kelas Persiapan Tes UKPPG Guru Tertentu 2025","Kelas Persiapan Tes UKPPG Guru Tertentu 2025 - Masa Aktif 2 Bulan","course + journey + liveclass + tryout",580500.00,125000.00,6
2026,jadippg,"SEMAR123 adalah platform hiburan Slot123 online teraman, terbaik, dan terpercaya di Indonesia untuk tahun 2026. Menghadirkan pengalaman bermain Mudah Jepe (Mudah Menang dan Jackpot) dengan proses login yang cepat, deposit rendah, dan sistem keamanan berla","Kelas Intensif Calon Guru 2025 (PraJab 2025) - Masa Aktif 2 Minggu","course + liveclass + tryout",430670.00,109000.00,5
2026,jadippg,"SEMAR123 adalah platform hiburan Slot123 online teraman, terbaik, dan terpercaya di Indonesia untuk tahun 2026. Menghadirkan pengalaman bermain Mudah Jepe (Mudah Menang dan Jackpot) dengan proses login yang cepat, deposit rendah, dan sistem keamanan berla","Kelas Intensif Calon Guru 2025 (PraJab 2025) - Masa Aktif 1 Bulan_","course + liveclass + tryout",156500.00,199000.00,2
2026,jadippg,"SEMAR123 adalah platform hiburan Slot123 online teraman, terbaik, dan terpercaya di Indonesia untuk tahun 2026. Menghadirkan pengalaman bermain Mudah Jepe (Mudah Menang dan Jackpot) dengan proses login yang cepat, deposit rendah, dan sistem keamanan berla","Kelas Intensif Calon Guru 2025 (PraJab 2025) - Masa Aktif 1 Bulan","course + journey + liveclass + tryout",146000.00,199000.00,2
2026,jadippg,"Kelas Persiapan UKPPG Calon Guru 2025","Kelas Persiapan UKPPG Calon Guru 2025 - Masa Aktif 2 Bulan (Khusus Perpanjang)","course + liveclass + tryout",73000.00,150000.00,1
2026,jadipppk,"Persiapan Rekrutmen PPPK 2025","Persiapan Rekrutmen PPPK 2025 - Masa Aktif 1 Bulan","course + journey + liveclass + tryout",2240300.00,199000.00,37
2026,jadipppk,"Road To PPPK 2026","Road To PPPK 2026 - Masa Aktif 1 Tahun","course + journey + liveclass + tryout",1659125.00,259000.00,12
2026,jadipppk,"Road To PPPK 2026","Road To PPPK 2026 - Masa Aktif 8 Bulan ","course + journey + liveclass + tryout",1309060.00,200000.00,11
2026,jadipppk,"Road To PPPK 2026","Road To PPPK 2026 - Masa Aktif 8 Bulan (Khusus Perpanjang)","course + liveclass + tryout",1089765.00,200000.00,10
2026,jadipppk,"BGN Express Rekrutmen PPPK 2025","BGN Express Rekrutmen PPPK 2025 - Masa Aktif 1 Bulan","course + journey + liveclass + tryout",826195.00,250000.00,6
2026,jadipppk,"Persiapan Rekrutmen PPPK 2025","Persiapan Rekrutmen PPPK 2025 - Masa Aktif 1 Bulan (Khusus Perpanjang)","course + liveclass + tryout",677815.00,199000.00,13
2026,jadipppk,"Persiapan Rekrutmen PPPK 2025","Persiapan Rekrutmen PPPK 2025 - Masa Aktif 3 Bulan","course + journey + liveclass + tryout",500500.00,250000.00,5
2026,jadipppk,"Road To PPPK 2026","Road To PPPK 2026 - Masa Aktif 1 Tahun (Khusus Perpanjang)","course + liveclass + tryout",489535.00,259000.00,4
2026,jadipppk,"Persiapan Rekrutmen PPPK 2025","Persiapan Rekrutmen PPPK 2025 - Masa Aktif 3 Bulan (Khusus Perpanjang)","course + liveclass + tryout",309000.00,250000.00,3
2026,jadipppk,"BGN Express Rekrutmen PPPK 2025","BGN Express Rekrutmen PPPK 2025 - Masa Aktif 1 Bulan (Khusus perpanjangan)","course + liveclass + tryout",286000.00,250000.00,2
2026,jadiprajurit,"Program Siap LOLOS AKADEMI TNI 2026 (AKMIL/ AAL/ AAU)","Paket Komplit Persiapan Tes Akmil 2026 (TKD, Psikologi & Akademik) - Masa Aktif 1 Tahun","course + liveclass + tryout",8153000.00,500000.00,48
2026,jadiprajurit,"Program Siap LOLOS BINTARA TNI 2025 (AD/ AL/ AU)","Program Intensif Bintara TNI 2025 (AD/ AL/ AU) - Masa Aktif 1 Bulan","course + liveclass + tryout",6226000.00,150000.00,62
2026,jadiprajurit,"Program Siap LOLOS PA PK TNI 2025","Program Intensif PA PK TNI 2025 - Masa Aktif 3 Bulan","course + liveclass + tryout",4709000.00,250000.00,28
2026,jadiprajurit,"Program Siap LOLOS PA PK TNI 2025","Program Intensif PA PK TNI 2025 - Masa Aktif 6 Bulan","course + liveclass + tryout",3381000.00,350000.00,17
2026,jadiprajurit,"Program Siap LOLOS BINTARA TNI 2025 (AD/ AL/ AU)","Program Intensif Bintara TNI 2025 (AD/ AL/ AU) - Masa Aktif 6 Bulan","course + liveclass + tryout",3367000.00,300000.00,25
2026,jadiprajurit,"Program Siap LOLOS AKADEMI TNI 2026 (AKMIL/ AAL/ AAU)","Paket Reguler Persiapan Tes Akmil 2026 (TKD & Psikologi) - Masa Aktif 1 Tahun","course + liveclass + tryout",2709000.00,400000.00,18
2026,jadiprajurit,"Program Siap LOLOS BINTARA TNI 2025 (AD/ AL/ AU)","Program Intensif Bintara TNI 2025 (AD/ AL/ AU) - Masa Aktif 3 Bulan","course + liveclass + tryout",2364500.00,250000.00,20
2026,jadiprajurit,"Program Siap LOLOS AKADEMI TNI 2026 (AKMIL/ AAL/ AAU)","Paket Komplit Persiapan Tes Akmil 2026 (TKD, Psikologi & Akademik) - Masa Aktif 1 Tahun_","course + liveclass + tryout",2322500.00,500000.00,14
2026,jadiprajurit,"Program Siap LOLOS TAMTAMA TNI 2025 (AD/ AL/ AU)","Program Intensif Tamtama TNI 2025 (AD/ AL/ AU) - Masa Aktif 1 Bulan","course + liveclass + tryout",1756000.00,200000.00,19
2026,jadiprajurit,"Program Siap LOLOS BINTARA TNI 2025 (AD/ AL/ AU)","Program Intensif Bintara TNI 2025 (AD/ AL/ AU) - Masa Aktif 1 Bulan_","course + liveclass + tryout",720500.00,200000.00,8
2026,jadiprajurit,"PROGRAM BIMBINGAN EKSLUSIF JADIPRAJURIT X GANTAR VELOCITY","Bimbingan Ekslusif TNI 2026 JadiPrajurit x Gantar Velocity - Masa Aktif 3 Bulan_","course + tryout",654000.00,1000000.00,1
2026,jadiprajurit,"Program Siap LOLOS TAMTAMA TNI 2025 (AD/ AL/ AU)","Program Intensif Tamtama TNI 2025 (AD/ AL/ AU) - Masa Aktif 3 Bulan","course + liveclass + tryout",527000.00,250000.00,5
2026,jadiprajurit,"Program Siap LOLOS BINTARA TNI 2025 (AD/ AL/ AU)","Program Intensif Bintara TNI 2025 (AD/ AL/ AU) - Masa Aktif 6 Bulan_","course + liveclass + tryout",516500.00,300000.00,4
2026,jadiprajurit,"Program Siap LOLOS PA PK TNI 2025","Program Intensif PA PK TNI 2025 - Masa Aktif 3 Bulan_","course + liveclass + tryout",481500.00,250000.00,3
2026,jadiprajurit,"Program Siap LOLOS AKADEMI TNI 2026 (AKMIL/ AAL/ AAU)","Paket Reguler Persiapan Tes Akmil 2026 (TKD & Psikologi) - Masa Aktif 1 Tahun_","course + liveclass + tryout",446000.00,400000.00,3
2026,jadiprajurit,"Program Siap LOLOS BINTARA TNI 2025 (AD/ AL/ AU)","Program Intensif Bintara TNI 2025 (AD/ AL/ AU) - Masa Aktif 3 Bulan_","course + liveclass + tryout",427000.00,250000.00,4
2026,jadiprajurit,"Program Siap LOLOS TAMTAMA TNI 2025 (AD/ AL/ AU)","Program Intensif Tamtama TNI 2025 (AD/ AL/ AU) - Masa Aktif 1 Bulan_","course + liveclass + tryout",398000.00,200000.00,5
2026,jadiprajurit,"Program Siap LOLOS TAMTAMA TNI 2025 (AD/ AL/ AU)","Program Intensif Tamtama TNI 2025 (AD/ AL/ AU) - Masa Aktif 6 Bulan","course + liveclass + tryout",127000.00,300000.00,1
2026,jadisekdin,"Bimbel SKD Sekolah Kedinasan 2026","Bimbel SKD Sekolah Kedinasan 2026 - Masa Aktif 6 Bulan","course + liveclass + tryout",10093390.00,200000.00,73
2026,jadisekdin,"Bimbel SKD Sekolah Kedinasan 2026","Bimbel SKD Sekolah Kedinasan 2026 - Masa Aktif 9 Bulan","course + liveclass + tryout",9956265.00,350000.00,57
2026,jadisekdin,"Bimbel SKD Sekolah Kedinasan 2026","Bimbel SKD Sekolah Kedinasan 2026 - Masa Aktif 1 Tahun","course + liveclass + tryout",4644580.00,550000.00,24
2026,jadisekdin,"Bimbel SKD Sekolah Kedinasan 2026","Bimbel SKD Sekolah Kedinasan 2026 - Masa Aktif 6 Bulan (Khusus Perpanjangan)","course + liveclass + tryout",1783810.00,200000.00,15
